ElapsedTime,Time,01.TargetTemp,01.State
14726786,2010-01-05T05:00:05.901Z,850,0
14736793,2010-01-05T05:00:15.908Z,850,0
14746796,2010-01-05T05:00:25.911Z,850,0
14756800,2010-01-05T05:00:35.915Z,850,0
14766804,2010-01-05T05:00:45.919Z,850,0
14776810,2010-01-05T05:00:55.925Z,850,0
14786821,2010-01-05T05:01:05.936Z,850,0
14796819,2010-01-05T05:01:15.934Z,850,0
14806830,2010-01-05T05:01:25.945Z,850,0
14816826,2010-01-05T05:01:35.941Z,850,0
14826831,2010-01-05T05:01:45.946Z,850,0
14836835,2010-01-05T05:01:55.950Z,850,0
14846841,2010-01-05T05:02:05.956Z,850,0
14856843,2010-01-05T05:02:15.958Z,850,0
14866849,2010-01-05T05:02:25.964Z,850,0
14876855,2010-01-05T05:02:35.970Z,850,0
14886858,2010-01-05T05:02:45.973Z,850,0
14896862,2010-01-05T05:02:55.977Z,850,0
14906868,2010-01-05T05:03:05.983Z,850,0
14916870,2010-01-05T05:03:15.985Z,850,0
14926877,2010-01-05T05:03:25.992Z,850,0
14936889,2010-01-05T05:03:36.004Z,850,0
14946894,2010-01-05T05:03:46.009Z,850,0
14956897,2010-01-05T05:03:56.012Z,850,0
14966904,2010-01-05T05:04:06.019Z,850,0
14976911,2010-01-05T05:04:16.026Z,850,0
14986912,2010-01-05T05:04:26.027Z,850,0
14996916,2010-01-05T05:04:36.031Z,850,0
15006925,2010-01-05T05:04:46.040Z,850,0
15016927,2010-01-05T05:04:56.042Z,850,0
15026928,2010-01-05T05:05:06.043Z,850,0
15036933,2010-01-05T05:05:16.048Z,850,0
15046940,2010-01-05T05:05:26.055Z,850,0
15056947,2010-01-05T05:05:36.062Z,850,0
15066946,2010-01-05T05:05:46.061Z,850,0
15076952,2010-01-05T05:05:56.067Z,850,0
15086962,2010-01-05T05:06:06.077Z,850,0
15096962,2010-01-05T05:06:16.077Z,850,0
15106967,2010-01-05T05:06:26.082Z,850,0
15116972,2010-01-05T05:06:36.087Z,850,0
15126983,2010-01-05T05:06:46.098Z,850,0
15136991,2010-01-05T05:06:56.106Z,850,0
15146999,2010-01-05T05:07:06.114Z,850,0
15157002,2010-01-05T05:07:16.117Z,850,0
15167001,2010-01-05T05:07:26.116Z,850,0
15177011,2010-01-05T05:07:36.126Z,850,0
15187012,2010-01-05T05:07:46.127Z,850,0
15197013,2010-01-05T05:07:56.128Z,850,0
15207017,2010-01-05T05:08:06.132Z,850,0
15217021,2010-01-05T05:08:16.136Z,850,0
15227029,2010-01-05T05:08:26.144Z,850,0
15237030,2010-01-05T05:08:36.145Z,850,0
15247039,2010-01-05T05:08:46.154Z,850,0
15257047,2010-01-05T05:08:56.162Z,850,0
15267049,2010-01-05T05:09:06.164Z,850,0
15277051,2010-01-05T05:09:16.166Z,850,0
15287055,2010-01-05T05:09:26.170Z,850,0
15297058,2010-01-05T05:09:36.173Z,1350,5
15307067,2010-01-05T05:09:46.182Z,1350,2
15317067,2010-01-05T05:09:56.182Z,1350,2
15327072,2010-01-05T05:10:06.187Z,1350,2
15337081,2010-01-05T05:10:16.196Z,1350,2
15347081,2010-01-05T05:10:26.196Z,1350,2
15357085,2010-01-05T05:10:36.200Z,1350,2
15367090,2010-01-05T05:10:46.205Z,1350,2
15377092,2010-01-05T05:10:56.207Z,1350,2
15387097,2010-01-05T05:11:06.212Z,1350,2
15397100,2010-01-05T05:11:16.215Z,1350,2
15407105,2010-01-05T05:11:26.220Z,1350,2
15417110,2010-01-05T05:11:36.225Z,1350,2
15427113,2010-01-05T05:11:46.228Z,1350,2
15437118,2010-01-05T05:11:56.233Z,1350,2
15447131,2010-01-05T05:12:06.246Z,1350,2
15457130,2010-01-05T05:12:16.245Z,1350,2
15467134,2010-01-05T05:12:26.249Z,1350,2
15477138,2010-01-05T05:12:36.253Z,1350,2
15487141,2010-01-05T05:12:46.256Z,1350,2
15497147,2010-01-05T05:12:56.262Z,1350,2
15507150,2010-01-05T05:13:06.265Z,1350,2
15517153,2010-01-05T05:13:16.268Z,1350,2
15527157,2010-01-05T05:13:26.272Z,1350,2
15537163,2010-01-05T05:13:36.278Z,1350,2
15547167,2010-01-05T05:13:46.282Z,1350,2
15557180,2010-01-05T05:13:56.295Z,1350,2
15567187,2010-01-05T05:14:06.302Z,1350,2
15577190,2010-01-05T05:14:16.305Z,1350,2
15587197,2010-01-05T05:14:26.312Z,1350,2
15597199,2010-01-05T05:14:36.314Z,1350,2
15607205,2010-01-05T05:14:46.320Z,1350,2
15617210,2010-01-05T05:14:56.325Z,1350,2
15627212,2010-01-05T05:15:06.327Z,1350,2
15637215,2010-01-05T05:15:16.330Z,1350,2
15647223,2010-01-05T05:15:26.338Z,1350,2
15657225,2010-01-05T05:15:36.340Z,1350,2
15667229,2010-01-05T05:15:46.344Z,1350,2
15677233,2010-01-05T05:15:56.348Z,1350,2
15687239,2010-01-05T05:16:06.354Z,1350,2
15697252,2010-01-05T05:16:16.367Z,1350,2
15707257,2010-01-05T05:16:26.372Z,1350,2
15717263,2010-01-05T05:16:36.378Z,1350,2
15727268,2010-01-05T05:16:46.383Z,1350,2
15737270,2010-01-05T05:16:56.385Z,1350,2
15747281,2010-01-05T05:17:06.396Z,1350,2
15757285,2010-01-05T05:17:16.400Z,1350,2
15767283,2010-01-05T05:17:26.398Z,1350,2
15777288,2010-01-05T05:17:36.403Z,1350,2
15787293,2010-01-05T05:17:46.408Z,1350,2
15797299,2010-01-05T05:17:56.414Z,1350,2
15807301,2010-01-05T05:18:06.416Z,1350,2
15817308,2010-01-05T05:18:16.423Z,1350,2
15827309,2010-01-05T05:18:26.424Z,1350,2
15837313,2010-01-05T05:18:36.428Z,1350,2
15847317,2010-01-05T05:18:46.432Z,1350,2
15857322,2010-01-05T05:18:56.437Z,1350,2
15867328,2010-01-05T05:19:06.443Z,1350,2
15877332,2010-01-05T05:19:16.447Z,1350,2
15887336,2010-01-05T05:19:26.451Z,1350,2
15897340,2010-01-05T05:19:36.455Z,1350,2
15907360,2010-01-05T05:19:46.475Z,1350,2
15917359,2010-01-05T05:19:56.474Z,1350,2
15927364,2010-01-05T05:20:06.479Z,1350,2
15937368,2010-01-05T05:20:16.483Z,1350,2
15947374,2010-01-05T05:20:26.489Z,1350,2
15957377,2010-01-05T05:20:36.492Z,1350,2
15967380,2010-01-05T05:20:46.495Z,1350,2
15977385,2010-01-05T05:20:56.500Z,1350,2
15987390,2010-01-05T05:21:06.505Z,1350,2
15997393,2010-01-05T05:21:16.508Z,1350,2
16007398,2010-01-05T05:21:26.513Z,1350,2
16017405,2010-01-05T05:21:36.520Z,1350,2
16027407,2010-01-05T05:21:46.522Z,1350,2
16037412,2010-01-05T05:21:56.527Z,1350,2
16047417,2010-01-05T05:22:06.532Z,1350,2
16057421,2010-01-05T05:22:16.536Z,1350,2
16067425,2010-01-05T05:22:26.540Z,1350,2
16077430,2010-01-05T05:22:36.545Z,1350,2
16087435,2010-01-05T05:22:46.550Z,1350,2
16097440,2010-01-05T05:22:56.555Z,1350,2
16107444,2010-01-05T05:23:06.559Z,1350,2
16117447,2010-01-05T05:23:16.562Z,1350,2
16127452,2010-01-05T05:23:26.567Z,1350,2
16137455,2010-01-05T05:23:36.570Z,1350,2
16147467,2010-01-05T05:23:46.582Z,1350,2
16157463,2010-01-05T05:23:56.578Z,1350,2
16167469,2010-01-05T05:24:06.584Z,1350,2
16177476,2010-01-05T05:24:16.591Z,1350,2
16187476,2010-01-05T05:24:26.591Z,1350,2
16197484,2010-01-05T05:24:36.599Z,1350,2
16207487,2010-01-05T05:24:46.602Z,1350,2
16217493,2010-01-05T05:24:56.608Z,1350,2
16227495,2010-01-05T05:25:06.610Z,1350,2
16237501,2010-01-05T05:25:16.616Z,1350,2
16247505,2010-01-05T05:25:26.620Z,1350,2
16257510,2010-01-05T05:25:36.625Z,1350,2
16267513,2010-01-05T05:25:46.628Z,1350,2
16277519,2010-01-05T05:25:56.634Z,1350,2
16287523,2010-01-05T05:26:06.638Z,1350,2
16297527,2010-01-05T05:26:16.642Z,1350,2
16307531,2010-01-05T05:26:26.646Z,1350,2
16317536,2010-01-05T05:26:36.651Z,1350,2
16327539,2010-01-05T05:26:46.654Z,1350,2
16337544,2010-01-05T05:26:56.659Z,1350,2
16347549,2010-01-05T05:27:06.664Z,1350,2
16357553,2010-01-05T05:27:16.668Z,1350,2
16367558,2010-01-05T05:27:26.673Z,1350,2
16377562,2010-01-05T05:27:36.677Z,1350,2
16387567,2010-01-05T05:27:46.682Z,1350,2
16397570,2010-01-05T05:27:56.685Z,1350,2
16407575,2010-01-05T05:28:06.690Z,1350,2
16417578,2010-01-05T05:28:16.693Z,1350,2
16427583,2010-01-05T05:28:26.698Z,1350,2
16437587,2010-01-05T05:28:36.702Z,1350,2
16447593,2010-01-05T05:28:46.708Z,1350,2
